original text,original inversion,inverted rounded text,inverted linRounded text,inverted gaussed text,inverted uniformed text,cosine diff pre rounded,cosine diff pre linRounded,cosine diff pre gaussed,cosine diff pre uniformed,cosine diff post rounded,cosine diff post linRounded,cosine diff post gaussed,cosine diff post uniformed
The epitaph on the front of the crypt reads Forever In Tune.,The epitaph on the front of the crypt reads       Forever In Tune.,['The epitaph on the front of the crypt reads      Forever in Tune.'],"['    , the epitaph in front of the crypt of Forever Tune reads forever']",['The epitaph on the front of the crypt reads       Forever In Tune.'],['The epitaph on the front of the crypt reads     Forever In Tune.  '],0.9981427192687988,0.9556722640991211,0.9978662729263306,0.9981508255004883,0.9921342134475708,0.9258021116256714,1.000000238418579,1.000000238418579
Loma Rica is located northeast of Marysville.,Roma lina Roma lina is located northeast of Marysville.,['loma ria loma ria is located northeast of Marysville in.'],['           Loma de Rica are located in Mary'],['Roma lina Roma lina is located northeast of Marysville.'],['Roma lina Roma lina is located northeast of Marysville.'],0.9984828233718872,0.9605358839035034,0.9982401132583618,0.9984651207923889,0.8778455257415771,0.8739053010940552,0.7496665716171265,0.7496665716171265
He bought undecorated porcelain from Hutschenreuther and other manufacturers which he then decorated.,He bought undecorated porcelain from Hutschenreuther and other manufacturers which he then decorated  .,['He bought undecorated porcelain from Huttenstruther and other manufacturers from whom he then panned and decorated his porcelain works.'],['most of them decorated by his company. He also bought an undecorated porcelain from Heinrich Vorderhueft who gave it to Huntsville'],"['He bought undecorated porcelain from Huttenschrer and other manufacturers in the area, which he decorated his porcelain ']","['He bought undecorated porcelain from pltieuther, Hutschenor and other manufacturers he decorated.']",0.9986340403556824,0.9633510112762451,0.998410701751709,0.9987131953239441,0.9608165621757507,0.8657749891281128,0.9549354314804077,0.9820172786712646
Forrester continued working in applications of system dynamics and promoting its use in education.,Forrester continued working in applications of system dynamics and     promoting its use in education. ,['Forrester continued working on application of system dynamics in education and promoting its use in systems.'],"[""application of Continuing Dynamics. Forrester worked on stimulating the application of system dynamics in education at George Albury University's interdisciplinary project.""]","['Forrester continued working in systems dynamics, promoting a variety of applications of   and   used in education. ']","['Forrester continued working in education, promoting the use of system dynamics in education and restraining its applications in science.']",0.9982374310493469,0.9498683214187622,0.9977886080741882,0.9981433153152466,0.9733303189277649,0.8631492257118225,0.9773176312446594,0.9629725813865662
Specifically he was the creator and ruler of the Pacific Ocean.,Specifically he was the creator and ruler of the Pacific Ocean.        ,['Specifically he was the creator and ruler of        of the Pacific Ocean. '],"['He was ""the creator"" of the Pacific Ocean. More specifically, he was ""the ruler of the Pacific Ocean"". He was firmly entren']",['Specifically he was the ruler of        and the creator of the Pacific Ocean.'],"['Specifically he was the creator of     , and was the ruler of the Pacific Ocean.']",0.9978544116020203,0.9460511207580566,0.9976360201835632,0.9978973269462585,0.9988145232200623,0.9005160331726074,0.9865486025810242,0.9797074794769287
Engineers of the future will include Ethics as their design process.,          Engineers of the future will include ethics as design process,['          Future-engineers will include ethics of design process.'],"['will have a ""Future Ethics"" process. Our engineers will design this process to tackle problems like poverty, exploitation, and stealing materials']",['         Engineers of the Future will include ethics as their design process.'],['           Future engineers will include ethics as their design process'],0.9982369542121887,0.955662190914154,0.9980652928352356,0.9984153509140015,0.9288588762283325,0.8277869820594788,0.9779917001724243,0.9486904144287109
Many shoppers are walking around in a mall.,          Many shoppers are walking around in a mall. ,['Many shoppers are walking around in a mall.           '],['           Many shoppers are walking around in shopping malls'],"['and many are walking around a mall. During a shopping walk, a large number of shoppers are walking at a convenience store ']",['          Many shoppers are walking around in a mall. '],0.9981282949447632,0.9524205923080444,0.9977266788482666,0.9981911182403564,1.0,0.9584497213363647,0.8563954830169678,1.0
I want to book Moishes Steakhouse in Lucky.,I want to book Muesh's Steakhouse and Restaurant in Muesh Lucky,['I want to book Moishes Steakhouse in Lucky. Steakhouse   '],"['booked Moishes Steakhouse in Lucky\'s restaurant. Every week, Moishes recommends ""Moose by Lucky."" I']","['I want to book Moesh Steakhouse, Moes Restaurant in Lucky']","[""I want to book moeshe's Steakhouse and moshe in Lucky.""]",0.9983779788017273,0.9557516574859619,0.9981842041015625,0.9983820915222168,0.9900363683700562,0.8926532864570618,0.9124371409416199,0.921926736831665
He also produced hit songs by his wife Teresa Brewer.,He also produced hit songs          by his wife Teresa Brewer.,['He also produced hit songs by his wife          Teresa Brewer. '],"['then. He also produced Alea Harvey, a hitmaker. Brewer also produced songs for his wife, Teresa, as well as a few']",['He also produced hit songs by his wife Teresa       (Alfred Brewer). '],['He also produced hit songs         by his wife  Teresa Brewer.'],0.9980525374412537,0.9431374669075012,0.9975395202636719,0.997930645942688,1.0000001192092896,0.8667776584625244,0.9662726521492004,1.0000001192092896
Aeranthes has a single short erect monopodial stem.,Aeranthes    has a single short erect monopodial stem. ,['Aeranthes     has a single short monopodial erect  stem.'],"['Aanthes has a single erect stem consisting of a single short, erect penis. Mollusc bipart']","[' Aeranthes has a single short erect monopodial stem,   .']",['Aeranthes has a single short erect monopodial stem    .'],0.9980459213256836,0.947216808795929,0.9976354837417603,0.9981101155281067,0.9942355751991272,0.8055116534233093,0.9956642985343933,0.9980641007423401
